Date,Open,High,Low,Close,Volume
8/17/2016,195.11,195.58,194.23,195.4,3237539
8/18/2016,195.43,195.91,195.31,195.87,5342948
8/19/2016,195.4,195.77,194.87,195.59,1220925
8/22/2016,195.36,195.8,194.94,195.57,902652
8/23/2016,196.23,196.54,195.91,195.94,1245166
8/24/2016,195.83,195.92,194.54,194.98,1189807
8/25/2016,194.56,195.27,194.42,194.83,1294579
8/26/2016,195.02,196.1,193.55,194.46,2963721
8/29/2016,194.61,195.69,194.57,195.45,1169424
8/30/2016,195.34,195.62,194.53,195.07,1442911
8/31/2016,194.77,194.88,193.75,194.56,2403137
9/1/2016,194.58,194.85,193.35,194.57,2251626
9/2/2016,195.47,195.88,194.85,195.43,1595120
9/6/2016,195.74,196.09,194.98,196.05,1629803
9/7/2016,195.87,196.2,195.38,196.04,1492252
9/8/2016,195.67,195.97,195.25,195.57,2235621
9/9/2016,194.17,194.27,190.85,190.85,3517404
9/12/2016,190.06,194.05,189.99,193.61,2870979
9/13/2016,192.26,192.52,190.17,190.81,3431541
9/14/2016,190.87,192.14,190.17,190.7,3027812
9/15/2016,190.56,193.07,190.42,192.67,1913275
9/16/2016,192.04,192.2,191.21,191.91,1810980
9/19/2016,192.64,193.28,191.66,191.97,2103880
9/20/2016,192.86,193.03,191.95,191.99,1320708
9/21/2016,192.7,194.32,192,194.15,2285083
9/22/2016,195.21,195.65,194.93,195.31,2261116
9/23/2016,194.93,195.06,194.2,194.27,1442862
9/26/2016,193.46,193.59,192.51,192.72,2502389
9/27/2016,192.54,193.99,192.18,193.89,1498448
9/28/2016,194.16,195.02,193.13,194.93,1449335
9/29/2016,194.68,195.06,192.55,193.11,2105157
9/30/2016,193.99,195.29,193.73,194.66,3212651
10/3/2016,194.16,194.33,193.44,194.04,2178782
10/4/2016,194.23,194.44,192.49,193.14,2905580
10/5/2016,193.75,194.41,193.7,193.94,1150106
10/6/2016,193.72,194.32,193.15,194.17,1136474
10/7/2016,194.39,194.57,192.66,193.45,1832354
10/10/2016,194.41,194.9,194.29,194.35,1324298
10/11/2016,193.98,194.05,191.23,191.98,2697601
10/12/2016,192.14,192.74,191.62,192.22,1488911
10/13/2016,190.87,192.13,189.99,191.61,2456051
10/14/2016,192.66,193.12,191.64,191.65,1244097
10/17/2016,191.66,191.95,190.85,191.09,1350588
10/18/2016,192.71,192.76,191.84,192.21,1289572
10/19/2016,192.5,193.08,192.15,192.74,1062948
10/20/2016,192.38,192.97,191.72,192.43,1336949
10/21/2016,191.57,192.58,191.42,192.48,1404894
10/24/2016,193.36,193.63,192.95,193.26,833897
10/25/2016,193.13,193.38,192.49,192.72,1495273
10/26/2016,191.78,192.86,191.57,192.28,1227220
10/27/2016,193.04,193.07,191.67,191.77,1669260
10/28/2016,191.73,192.41,190.45,191.17,2686596
10/31/2016,191.53,191.76,191.02,191.17,1853911
11/1/2016,191.56,191.57,188.53,189.84,2507537
11/2/2016,189.5,189.88,188.2,188.57,3466027
11/3/2016,188.87,189.08,187.51,187.84,1543495
11/4/2016,187.9,188.79,187.44,187.6,2267600
11/7/2016,190.22,191.76,190.06,191.7,2754789
11/8/2016,191.35,193.17,191.06,192.59,3111739
11/9/2016,190.98,195.29,190.96,194.65,6245769
11/10/2016,195.48,196.37,193.59,195.09,5227959
11/11/2016,194.39,194.91,193.68,194.73,1961296
11/14/2016,195.25,195.44,194.04,194.76,2706261
11/15/2016,195.24,196.35,195.02,196.34,2584949
11/16/2016,195.72,196.23,195.59,196.01,1219953
11/17/2016,196.15,197.04,196.06,196.94,1201224
11/18/2016,197.07,197.23,196.37,196.59,1702868
11/21/2016,197.16,198.07,197.02,198.03,2695866
11/22/2016,198.4,198.62,197.67,198.4,2830824
11/23/2016,198.03,198.6,197.67,198.58,1495958
11/25/2016,198.96,199.37,198.84,199.37,1881300
11/28/2016,198.95,199.24,198.24,198.43,2238391
11/29/2016,198.4,199.22,198.06,198.75,1724634
11/30/2016,199.4,199.55,198.2,198.29,2407922
12/1/2016,198.57,198.6,197.15,197.51,3349433
12/2/2016,197.6,198.12,197.26,197.65,2162945
12/5/2016,198.53,199.17,198.31,198.79,2113602
12/6/2016,199.05,199.48,198.53,199.47,2462918
12/7/2016,199.32,202.13,199.17,202.01,2299941
12/8/2016,202.06,203.07,201.76,202.55,3034587
12/9/2016,202.82,203.8,202.78,203.77,2012750
12/12/2016,203.69,204.18,203.14,203.54,2469402
12/13/2016,204.29,205.44,204.23,204.95,2725395
12/14/2016,204.6,205.34,202.78,203.25,4320663
12/15/2016,203.49,204.99,203.36,204,2867236
12/16/2016,204.58,204.6,203.33,203.64,3137048
12/19/2016,203.87,204.56,203.69,204.11,2083995
12/20/2016,204.68,205.07,204.44,204.9,3261231
12/21/2016,204.82,204.96,204.33,204.33,1578022
12/22/2016,204.22,204.3,203.56,204.07,1890531
12/23/2016,204.04,204.28,203.83,204.25,1297645
12/27/2016,204.54,205.21,204.54,204.76,1844063
12/28/2016,205.06,205.13,203,203.15,2260024
12/29/2016,203.18,203.53,202.6,203.11,1798561
12/30/2016,203.43,203.49,201.6,202.4,4312571
1/3/2017,203.74,204.39,202.65,203.8,4818307
1/4/2017,204.26,205.24,204.18,205.02,4688919
1/5/2017,204.81,205.1,204.07,204.86,2811758
1/6/2017,205.05,206.12,204.46,205.64,2226084
1/9/2017,205.38,205.51,204.94,205.01,1729707
1/10/2017,204.96,205.85,204.57,204.98,2220921
1/11/2017,204.9,205.54,204.18,205.54,5759579
1/12/2017,205.03,205.25,203.6,205.11,3290742
1/13/2017,205.24,205.81,205.19,205.49,2863150
1/17/2017,204.85,205.27,204.39,204.78,1714349
1/18/2017,205.07,205.27,204.48,205.22,2008948
1/19/2017,205.32,205.47,204.03,204.52,1675657
1/20/2017,205.2,205.73,204.62,205.19,2112626
1/23/2017,204.9,205.27,203.89,204.71,4651790
1/24/2017,204.92,206.43,204.81,206,1966809
1/25/2017,207.01,207.77,206.82,207.71,2908535
1/26/2017,207.65,207.9,207.27,207.57,2520834
1/27/2017,207.65,207.76,207.06,207.27,1448711
1/30/2017,206.51,206.55,204.94,206.01,2822376
1/31/2017,205.38,206,204.85,206,3841601
2/1/2017,206.65,206.89,205.41,206.03,2737205
2/2/2017,205.62,206.43,205.28,206.12,1685182
2/3/2017,207.11,207.73,206.8,207.64,4325854
2/6/2017,207.15,207.56,206.87,207.22,1364875
2/7/2017,207.65,207.84,207.02,207.27,1211481
2/8/2017,206.92,207.62,206.66,207.54,1111921
2/9/2017,207.78,209.04,207.74,208.72,1255178
2/10/2017,209.13,209.77,209.01,209.56,1432670
2/13/2017,210.08,210.97,210.04,210.67,1780143
2/14/2017,210.52,211.55,210.13,211.55,2564511
2/15/2017,211.3,212.83,211.27,212.62,2076083
2/16/2017,212.68,212.84,211.69,212.45,1948032
2/17/2017,211.8,212.78,211.75,212.78,1471946
2/21/2017,213.25,214.23,213.18,214.03,1920355
2/22/2017,213.65,214.11,213.48,213.94,1492690
2/23/2017,214.45,214.45,213.23,214.05,1741871
2/24/2017,213.15,214.33,213.09,214.3,1661537
2/27/2017,214.23,214.81,213.95,214.62,1970096
2/28/2017,214.25,214.49,213.65,214,2211307
3/1/2017,215.8,217.53,215.77,217.02,3372478
3/2/2017,216.87,216.9,215.65,215.76,1674437
3/3/2017,215.6,215.99,215.21,215.88,1790838
3/6/2017,214.98,215.55,214.54,215.2,1553015
3/7/2017,214.89,215.23,214.33,214.55,1767820
3/8/2017,214.86,215.1,214,214.1,1810022
3/9/2017,214.24,214.75,213.39,214.32,1658234
3/10/2017,215.45,215.46,214.17,215.07,1846038
3/13/2017,215.08,215.31,214.77,215.2,1408141
3/14/2017,214.68,214.72,213.82,214.47,1448846
3/15/2017,215.03,216.73,214.78,216.26,3407055
3/16/2017,216.49,216.53,215.55,215.9,1735525
3/17/2017,216.19,216.33,215.46,215.46,1611422
3/20/2017,215.49,215.79,214.89,215.27,1050838
3/21/2017,215.9,216.03,212.35,212.52,3515652
3/22/2017,212.52,213.27,211.9,212.96,2625111
3/23/2017,212.74,213.95,212.38,212.74,2460330
3/24/2017,213.07,213.7,211.83,212.67,2673101
3/27/2017,210.83,212.66,210.58,212.32,2103020
3/28/2017,212.1,214.38,211.99,213.9,3086138
3/29/2017,213.65,214.39,213.41,214.21,1765548
3/30/2017,214.1,215.04,213.91,214.79,2519021
3/31/2017,214.48,215.02,214.27,214.27,1344303
4/3/2017,214.43,214.61,212.68,214.01,2871438
4/4/2017,213.64,214.17,213.26,214.13,2505646
4/5/2017,214.81,215.84,213.27,213.47,2328419
4/6/2017,213.64,214.61,213.15,214.03,1649780
4/7/2017,213.79,214.56,213.33,213.84,1853740
4/10/2017,213.99,214.8,213.43,213.99,1324575
4/11/2017,213.56,213.81,212.19,213.72,1804639
4/12/2017,213.42,213.62,212.56,212.84,2021748
4/13/2017,212.44,213.17,211.42,211.42,1824331
4/17/2017,211.95,213.28,211.75,213.27,1763818
4/18/2017,212.49,213.17,211.92,212.69,2722251
4/19/2017,213.24,213.63,212,212.22,2052068
4/20/2017,212.92,214.42,212.56,213.96,2760831
4/21/2017,213.9,213.95,212.87,213.33,2619499
4/24/2017,215.66,215.86,215.14,215.61,2388421
4/25/2017,216.32,217.25,216.2,216.91,1762143
4/26/2017,216.86,217.79,216.71,216.75,2849588
4/27/2017,217.09,217.25,216.37,216.92,1165365
4/28/2017,217.22,217.23,216.34,216.5,1269820
5/1/2017,217.05,217.46,216.55,217.02,1520700
5/2/2017,217.18,217.27,216.67,217.09,2597927
5/3/2017,216.68,217.06,216.15,216.88,1665851
5/4/2017,217.16,217.24,216.22,217.07,1453065
5/5/2017,217.45,217.95,217.01,217.95,1746562
5/8/2017,218.02,218.14,217.46,217.96,2246016
5/9/2017,218.18,218.37,217.33,217.68,1652802
5/10/2017,217.65,218.11,217.44,218.09,1077469
5/11/2017,217.63,217.82,216.52,217.64,1873726
5/12/2017,217.39,217.49,217.01,217.3,1066740
5/15/2017,217.77,218.6,217.72,218.41,1454913
5/16/2017,218.76,218.82,217.89,218.37,2468953
5/17/2017,216.51,216.96,214.34,214.49,3533058
